"Keyword","Average Sales","Search Per Month","Search Per Month Color","Competition Score","Competition Score Color"
"badass female demon ebook","$ 119","1,071","Green",40,"Green"
"unique funny plot line with paranormal storyline","$ 4,765","<100","Red",52,"Yellow"
"fast paced engaging horror occult mystery","$ 4,079","<100","Red",45,"Yellow"
"occult suspense","$ 191","418","Red",23,"Green"
"fiery dark fantasy demon","$ 3,120","<100","Red",1,"Green"
"supernatural suspense thriller","$ 1,287","487","Yellow",42,"Yellow"
"paranormal bounty hunter ebook series","$ 279","<100","Red",25,"Green"
"fantasy dark suspense supernatural thriller","$ 494","<100","Red",57,"Yellow"
"paranormal demon","$ 1,561","474","Red",71,"Red"
"spooky ghost horror demon","$ 967","<100","Red",20,"Green"
"spooky dark humor","$ 20,830","5,713","Green",60,"Yellow"
"dark paranormal adventure","$ 167","268","Yellow",17,"Green"
"paranormal bounty hunter series","$ 381","236","Yellow",35,"Green"
"dark female demon fantasy","$ 114","<100","Red",20,"Green"
"female lead horror","$ 514","<100","Red",3,"Green"
"dark humor of psychics","$ 12","<100","Red",20,"Green"
"dark paranormal demon ebook series","$ 611","<100","Red",40,"Green"
"dark demon fantasy ebooks","$ 65","6,455","Green",77,"Red"
"dark paranormal mystery series","$ 201","<100","Red",20,"Green"
"dark humor psychic","$ 101","<100","Red",3,"Green"
"psychic humor dark","$ 8","<100","Red",20,"Green"
"psychic dark humor","$ 8","<100","Red",20,"Green"
"demon fantasy","$ 1,398","1,733","Red",27,"Green"
"demon mystery ebooks","$ 7,772","219","Yellow",33,"Green"
"badass fmc","$ 15,355","1,697","Red",26,"Green"
"supernatural demon fantasy ebooks","$ 1,492","<100","Red",30,"Green"
"most captivating immersive thriller","$ 54,963","201","Yellow",49,"Yellow"
"free books badass paranormal","$ 379","215","Yellow",4,"Green"
"badass female","$ 3,006","<100","Red",20,"Green"
"demon paranormal","$ 403","474","Red",64,"Yellow"
"psychic dark fantasy","$ 93","<100","Red",9,"Green"
"dark demon fantasy suspense","$ 42","255","Yellow",20,"Green"
"free ebook horror","$ 28","350","Yellow",47,"Yellow"
"dark paranormal ghost suspense","$ 3,565","370","Green",33,"Green"
"dark paranormal mystery","$ 52","<100","Red",3,"Green"
"paranormal dreams book","$ 433","<100","Red",13,"Green"
"paranormal horror romance dark comedy","$ 82","<100","Red",4,"Green"
"dark comedy horror paranormal romance","$ 82","<100","Red",4,"Green"
"dark paranormal demon ebooks series","$ 559","<100","Red",33,"Green"
"supernatural thriller romance","$ 449","307","Yellow",27,"Green"
"dark fantasy mystery","$ 808","<100","Red",19,"Green"
"a dark supernatural suspense","$ 233","213","Yellow",22,"Green"
"female main character","$ 57,600","286","Yellow",32,"Green"
"demon fantasy suspense","$ 625","<100","Red",25,"Green"
"dark supernatural demon fantasy ebooks","$ 494","<100","Red",40,"Green"
"paranormal thriller romance","$ 231","332","Yellow",27,"Green"
"supernatural dark thriller","$ 1,027","<100","Red",23,"Green"
"dark fantasy demon","$ 508","982","Yellow",30,"Green"
"dark demon fantasy ebook","$ 65","1,061","Green",77,"Red"
"demon dark fantasy ebook","$ 118","1,552","Green",77,"Red"
"demon and psychic ebook","$ 632","<100","Red",20,"Green"
"supernatural horror free kindle books","$ 451","<100","Red",31,"Green"
"paranormal audio books","$ 10,119","1,086","Yellow",61,"Yellow"
"dark paranormal demon series","$ 446","304","Green",33,"Green"
"demon and psychic","$ 1,061","965","Yellow",60,"Yellow"
"dark suspense horror","$ 5,066","215","Yellow",20,"Green"
"psychic demon","$ 1,077","965","Red",60,"Yellow"
"dark paranormal fantasy demon","$ 104","323","Green",33,"Green"
"dark paranormal demon ebook","$ 168","364","Green",33,"Green"
"badass female demon book series","$ 700","<100","Red",8,"Green"
"demon dark fantasies","$ 118","954","Yellow",61,"Yellow"
"dark fantasy demon book","$ 68","951","Green",65,"Yellow"
"female supernatural demon fantasy","$ 196","<100","Red",20,"Green"
"badass female demon series","$ 277","<100","Red",13,"Green"
"dreams of being a writer","$ 38,725","<100","Red",38,"Green"
"supernatural demon fantasy female","$ 196","<100","Red",20,"Green"
"dark paranormal bounty hunter","$ 75","<100","Red",10,"Green"
"dark demon fantasy","$ 65","1,391","Yellow",77,"Red"
"dark demon fantasies","$ 85","982","Yellow",72,"Red"
"deep characters good plot fast paced thriller","$ 633","<100","Red",33,"Green"
"who let a demon","$ 112","<100","Red",40,"Green"
"evil ghost bounty hunter","$ 104","<100","Red",1,"Green"
"compelling plot with suspense","$ 1,051","1,382","Green",33,"Green"
"occult demon fantasy","$ 1,491","373","Yellow",45,"Yellow"
"demon occult horror","$ 30","<100","Red",3,"Green"
"compelling suspense plot with intrigue","$ 8,925","<100","Red",48,"Yellow"
"badass female bounty hunter","$ 51","<100","Red",1,"Green"
"dark humor paranormal","$ 1,557","<100","Red",13,"Green"
"paranormal dark comedy thrillers","$ 879","<100","Red",20,"Green"
"summoned the demon","$ 450","<100","Red",1,"Green"
"dark demon fantasy ebook series","$ 417","644","Green",65,"Yellow"
"dark supernatural demon fantasy books","$ 211","<100","Red",28,"Green"
"dark supernatural demon fantasy book","$ 209","<100","Red",28,"Green"
"supernatural demon dark fantasy","$ 212","231","Yellow",20,"Green"
"dark supernatural demon fantasies","$ 485","<100","Red",20,"Green"
"dark paranormal bounty hunter series","$ 92","<100","Red",10,"Green"
"suspenseful supernatural thriller novels","$ 12,651","892","Green",60,"Yellow"
"dark paranormal horror thriller","$ 5,288","<100","Red",45,"Yellow"
"dark paranormal thriller","$ 5,332","297","Yellow",45,"Yellow"
"deadly dreams","$ 96","<100","Red",60,"Yellow"
"dark horror twisted demonic romance","$ 154","<100","Red",1,"Green"
"paranormal bounty hunter novel","$ 281","<100","Red",25,"Green"
"dark demon suspense","$ 3,265","<100","Red",33,"Green"
"demon occult thriller","$ 32","<100","Red",2,"Green"
"demon bounty hunter ebook series","$ 156","<100","Red",13,"Green"
"paranormal demon dark fantasy","$ 104","323","Green",33,"Green"
"dark demon fantasy thriller books","$ 39","<100","Red",20,"Green"
"dark paranormal demon fantasy","$ 104","323","Green",33,"Green"
"demon dark fantasy thriller","$ 39","<100","Red",20,"Green"
"paranormal dark fantasy demon","$ 104","323","Green",33,"Green"
"fantasy telepathy supernatural power","$ 45","<100","Red",3,"Green"
"dark supernatural suspense demon","$ 147","<100","Red",20,"Green"
"female protagonist psychic powers","$ 241","<100","Red",1,"Green"
"occult suspense demon","$ 20","<100","Red",20,"Green"
"paranormal hunters","$ 119","<100","Red",15,"Green"
"immersive reading experience","$ 769","<100","Red",49,"Yellow"
"dark humor paranormal thriller","$ 872","<100","Red",20,"Green"
"badass supernatural","$ 281","<100","Red",20,"Green"
"badass female romance","$ 6,106","346","Yellow",48,"Yellow"
"dark humor paranormal suspense","$ 878","<100","Red",33,"Green"
"strong female lead suspense","$ 38","<100","Red",30,"Green"
"psychic suspense thriller with dreams","$ 38","<100","Red",1,"Green"
"occult suspense with psychics and","$ 14","<100","Red",20,"Green"
"dark horror thriller murder mystery","$ 5,032","<100","Red",20,"Green"
"occult suspense with psychic dreams","$ 6","<100","Red",1,"Green"
"summoned dark fantasy","$ 1,733","<100","Red",13,"Green"
"summoned a demon","$ 291","<100","Red",40,"Green"
"occult thriller with demon hunter","$ 9","<100","Red",2,"Green"
"badass female high fantasy","$ 3,222","247","Yellow",25,"Green"
"dreams of fury","$ 25","<100","Red",20,"Green"
"deadly sins with ghosts","$ 24","<100","Red",1,"Green"
"demon bounty hunter","$ 13","<100","Red",1,"Green"
"occult thriller with female demon hunter","$ 78","<100","Red",1,"Green"
"psychic suspense thriller demon","$ 624","<100","Red",20,"Green"
"thriller with psychic vision powers","$ 58","<100","Red",1,"Green"
"suspenseful supernatural novels","$ 4,529","<100","Red",28,"Green"
"dark paranormal demon mystery","$ 140","<100","Red",20,"Green"
"thrilling fantasy with female lead","$ 348","<100","Red",40,"Green"
"bounty hunter comedy","$ 14","<100","Red",1,"Green"
"suspenseful paranormal thrillers","$ 3,289","<100","Red",40,"Green"
"horror with supernatural elements","$ 246","<100","Red",20,"Green"
"demon x human","$ 65","<100","Red",20,"Green"
"paranormal badass female lead","$ 10","<100","Red",1,"Green"
"occult demon thriller","$ 163","<100","Red",20,"Green"
"strong female lead paranormal","$ 1,278","<100","Red",16,"Green"
"second-place dreams","$ 12","<100","Red",45,"Yellow"
"novel with dreams changing reality","$ 76","<100","Red",1,"Green"
"deadly sins horror","$ 24","<100","Red",1,"Green"
"novel where dreams change reality","$ 181","<100","Red",6,"Green"
"badass female lead","$ 10,932","<100","Red",18,"Green"
"fiction with dreams changing reality","$ 3","<100","Red",1,"Green"
"fiction where dreams change reality","$ 157","<100","Red",1,"Green"
